repo,number,state,merged,created_at,closed_or_merged_at,additions,deletions,changed_files,description_length,comments,review_comments,participants
freeCodeCamp/freeCodeCamp,59470,closed,True,2025-03-27T18:12:24Z,2025-03-31T16:44:22Z,0,323,12,763,0,0,2
freeCodeCamp/freeCodeCamp,59468,closed,True,2025-03-27T16:31:12Z,2025-03-31T06:28:49Z,0,3,1,1049,0,0,2
freeCodeCamp/freeCodeCamp,59467,closed,True,2025-03-27T15:44:19Z,2025-03-27T19:49:35Z,1,0,1,869,2,0,2
freeCodeCamp/freeCodeCamp,59466,closed,True,2025-03-27T15:40:43Z,2025-03-31T16:31:29Z,7,0,1,255,0,0,2
freeCodeCamp/freeCodeCamp,59464,closed,True,2025-03-27T12:07:54Z,2025-03-27T13:48:33Z,1,1,1,985,0,0,2
freeCodeCamp/freeCodeCamp,59463,closed,True,2025-03-27T10:21:29Z,2025-03-27T13:47:55Z,2,2,1,410,0,0,2
freeCodeCamp/freeCodeCamp,59461,closed,True,2025-03-27T08:33:04Z,2025-03-28T03:37:41Z,14,36,4,852,0,2,3
freeCodeCamp/freeCodeCamp,59458,closed,True,2025-03-27T07:39:46Z,2025-03-27T10:16:44Z,1,1,1,409,0,0,2
freeCodeCamp/freeCodeCamp,59457,closed,True,2025-03-27T01:35:00Z,2025-03-27T05:17:34Z,1,1,1,750,0,0,2
freeCodeCamp/freeCodeCamp,59452,closed,True,2025-03-26T16:55:35Z,2025-03-27T17:16:17Z,4,4,3,751,1,0,2
freeCodeCamp/freeCodeCamp,59450,closed,True,2025-03-26T14:38:04Z,2025-03-26T15:14:47Z,1,1,1,1023,3,0,2
freeCodeCamp/freeCodeCamp,59448,closed,True,2025-03-26T14:08:47Z,2025-03-26T15:08:36Z,1,1,1,47,0,0,2
freeCodeCamp/freeCodeCamp,59446,closed,True,2025-03-26T13:20:46Z,2025-03-26T21:34:06Z,5,25,10,783,0,0,2
freeCodeCamp/freeCodeCamp,59445,closed,True,2025-03-26T12:26:32Z,2025-03-26T14:03:51Z,20,20,10,45,0,0,2
freeCodeCamp/freeCodeCamp,59443,closed,True,2025-03-26T11:09:17Z,2025-03-26T13:52:38Z,2,0,1,940,0,0,2
freeCodeCamp/freeCodeCamp,59442,closed,True,2025-03-26T10:45:07Z,2025-03-27T13:40:30Z,553,812,133,1023,2,0,2
freeCodeCamp/freeCodeCamp,59441,closed,True,2025-03-26T10:35:33Z,2025-03-28T00:06:39Z,98,1,2,750,1,3,2
freeCodeCamp/freeCodeCamp,59436,closed,True,2025-03-25T19:48:16Z,2025-03-26T04:06:12Z,2,0,1,750,0,0,3
freeCodeCamp/freeCodeCamp,59433,closed,True,2025-03-25T16:11:57Z,2025-03-25T17:57:07Z,6,6,6,750,0,0,2
freeCodeCamp/freeCodeCamp,59432,closed,True,2025-03-25T15:24:29Z,2025-03-25T21:14:42Z,8,8,1,750,0,5,3
freeCodeCamp/freeCodeCamp,59429,closed,True,2025-03-25T12:05:04Z,2025-03-25T14:24:25Z,2,2,1,435,0,0,2
freeCodeCamp/freeCodeCamp,59425,closed,True,2025-03-25T09:29:21Z,2025-03-25T18:28:26Z,2,2,1,928,0,0,2
freeCodeCamp/freeCodeCamp,59420,closed,True,2025-03-25T09:06:44Z,2025-03-27T04:01:51Z,102,177,2,881,0,0,2
freeCodeCamp/freeCodeCamp,59418,closed,False,2025-03-25T08:10:38Z,2025-03-25T17:15:17Z,54,17,1,0,0,0,1
freeCodeCamp/freeCodeCamp,59417,closed,True,2025-03-25T07:55:42Z,2025-03-25T08:36:47Z,15,5,1,846,0,0,3
freeCodeCamp/freeCodeCamp,59416,closed,True,2025-03-25T06:30:54Z,2025-03-25T07:44:36Z,6,6,2,1436,1,1,3
freeCodeCamp/freeCodeCamp,59415,closed,True,2025-03-25T05:02:50Z,2025-03-25T05:51:57Z,5,5,1,1223,0,0,2
freeCodeCamp/freeCodeCamp,59414,closed,True,2025-03-25T04:51:27Z,2025-03-25T05:53:15Z,2,2,2,819,0,0,2
freeCodeCamp/freeCodeCamp,59411,closed,True,2025-03-25T02:25:37Z,2025-03-25T18:54:44Z,2,2,2,750,0,0,2
freeCodeCamp/freeCodeCamp,59410,closed,True,2025-03-25T00:37:17Z,2025-03-27T13:46:03Z,2,2,1,753,2,0,2
freeCodeCamp/freeCodeCamp,59405,closed,True,2025-03-24T15:17:43Z,2025-03-25T08:08:11Z,99,76,7,750,1,1,2
freeCodeCamp/freeCodeCamp,59403,closed,True,2025-03-24T14:13:15Z,2025-03-24T15:28:01Z,1,1,1,47,0,0,2
freeCodeCamp/freeCodeCamp,59401,closed,True,2025-03-24T14:02:25Z,2025-03-25T08:17:25Z,8,4,3,894,0,0,2
freeCodeCamp/freeCodeCamp,59400,closed,True,2025-03-24T13:08:02Z,2025-03-27T13:37:22Z,13,5,4,750,11,11,5
freeCodeCamp/freeCodeCamp,59398,closed,True,2025-03-24T12:26:09Z,2025-03-24T15:41:58Z,82,202,20,45,0,0,2
freeCodeCamp/freeCodeCamp,59395,closed,True,2025-03-24T05:43:54Z,2025-03-24T14:01:20Z,10,7,3,736,0,0,2
freeCodeCamp/freeCodeCamp,59394,closed,True,2025-03-23T23:56:47Z,2025-03-24T05:10:25Z,1,1,1,395,0,0,2
